BrowseAuthor,BrowseTitle,PublicationYear,CallNumber,TotalItemLifetimeCircCount,TotalItemYTDCircCount,,Call No. Color Code
"Obama, Michelle, 1964- author.",Becoming,2018,"BIOG OBAMA,M OBA",160,5,,BIOG
"Westover, Tara, author.",Educated : a memoir,2018,"BIOG WESTOVER,T WES",103,7,,0
"Wilkerson, Isabel, author.",Caste : the origins of our discontents,2020,305.5 WIL,76,3,,100
"Clear, James, author.","Atomic habits : tiny changes, remarkable results : an easy & proven way to build good habits & break bad ones",2018,155.24 CLE,66,12,,200
"Carnegie, Dale, 1888-1955.",How to win friends and influence people,2009,158.1 CAR,52,2,,300
"Tolle, Eckhart, 1948-",The power of now : a guide to spiritual enlightenment,2004,291.44 TOL,48,5,,400
"Didion, Joan, author.",Slouching towards Bethlehem,2008,814.54 DID,48,4,,500
"Graham, Benjamin, 1894-1976.",The intelligent investor : the classic text on value investing,2005,332.67 GRA,48,3,,600
NhÃ¢Ì,The miracle of mindfulness : an introduction to the practice of meditation,2016,294.3 NHA,48,1,,700
,Good housekeeping Instant Pot cookbook : 60 delicious foolproof recipes.,2018,641.587 GOO,47,5,,800
"Mueller, John, 1958- author.",Beginning programming with Python,2018,005.133 PYTHON DUM,47,4,,900
"Hartwig, Melissa, author.",The whole30 fast & easy : 150 simply delicious everday recipes for your Whole30,2017,641.5637 HAR,45,3,,
"Bergstrom, Lauren, author.",Mini crochet creatures : 30 amigurumi animals to make,2018,746.434 BER,45,2,,
,Air fryer cookbook : 70 delicious recipes.,2018,641.77 AIR,44,6,,
"McCullough, David G., author.",The pioneers : the heroic story of the settlers who brought the American ideal west,2019,977 MCC,44,0,,
"Obama, Barack, author.",A promised land,2020,"BIOG OBAMA,B OBA",44,0,,
"Homolka, Gina, author.","Skinnytaste one & done : 140 no-fuss dinners for your Instant Pot, slow cooker, air fryer, sheet pan, skillet, dutch oven & more",2018,641.512 HOM,43,3,,
"Axe, Josh, author.","Keto diet : your 30-day plan to lose weight, balance hormones, boost brain health, and reverse disease",2019,613.2833 AXE,43,2,,
"Pitre, Urvashi, author.",Indian Instant PotÂ® cookbook : traditional Indian dishes made easy & fast,2017,641.587 PIT,42,3,,
"Xu, Mingxing, author.",Blockchain : an illustrated guidebook to understanding Blockchain,2018,332.178 XU,42,0,,
"Gladwell, Malcolm, 1963- author.",Talking to strangers : what we should know about the people we don't know,2019,302 GLA,41,4,,
"Meyers, Mike, 1961- author",All in one CompTIA network+ certification exam guide (Exam N10-007),2018,004.6 MEY,41,3,,
"Lucas, Waylynn, author.",Sunny side up : more than 100 breakfast & brunch recipes from the essential egg to the perfect pastry,2019,641.52 LUC,41,1,,
"Dorkin, Joshua, author.",How to invest in real estate : the ultimate beginner's guide to getting started,2018,332.6324 DOR,40,5,,
"Adlington, Lucy, 1970- author.",The dressmakers of Auschwitz : the true story of the women who sewed to survive,2021,940.5318 ADL,40,0,,
"Magnusson, Margareta, author.",The gentle art of Swedish death cleaning : how to free yourself and your family from a lifetime of clutter,2018,648.5 MAG,39,7,,
"Harari, Yuval N.",Sapiens : a brief history of humankind,2015,909 HAR,39,5,,
"Saltz, Joanna, author.",Delish : 275+ amazing recipes & ideas,2018,641.5 SAL,39,1,,
"Zauner, Michelle, author.",Crying in H Mart,2021,"BIOG ZAUNER,M ZAU",38,8,,
"DeMartino, Ian, author.","The bitcoin guidebook : how to obtain, invest, and spend the world's first decentralized cryptocurrency",2019,332.4 DEM,38,4,,
"Gottlieb, Lori, author.","Maybe you should talk to someone : a therapist, HER therapist, and our lives revealed",2019,616.89 GOT,38,3,,
"Downs, Nicole.",Keto for foodies : the ultimate low-carb cookbook with over 125 mouthwatering recipes,2019,641.5638 DOW,38,1,,
,SAT prep 2019.,2018,378.1662 SAT KAP,37,6,,
"Ferraro, Samantha, author.","The weeknight Mediterranean kitchen : 75 authentic, healthy recipes made quick and easy for everyday cooking",2018,641.5918 FER,37,6,,
"Haverbeke, Marijn, author.",Eloquent Javascript : a modern introduction to programming,2019,005.133 JAVASCRIPT HAV,37,3,,
"Hollis, Rachel (Event planner), author.","Girl, wash your face : stop believing the lies about who you are so you can become who you were meant to be",2018,248.843 HOL,37,3,,
"Morante, Coco, author.",The essential Instant Pot cookbook : foolproof recipes for your electric pressure cooker,2017,641.587 MOR,37,3,,
"Perry, Bruce Duncan, 1955- author.","What happened to you? : conversations on trauma, resilience, and healing",2021,616.8521 PER,37,2,,
"Eyal, Nir, author.",Indistractable : how to control your attention and choose your life,2019,153.7 EYA,37,1,,
"William, Anthony, author.","Medical medium liver rescue : answers to eczema, psoriasis, diabetes, strep, acne, gout, bloating, gallstones, adrenal stress, fatigue, fatty liver, weight issues, SIBO & autoimmune disease",2018,613 WIL,37,1,,
"Keefe, Patrick Radden, 1976- author.",Say nothing : a true story of murder and memory in Northern Ireland,2019,364.1523 KEE,36,4,,
"Garten, Ina, author.",Cook like a pro,2018,641.5 GAR,36,4,,
"White, Dana Angelo.",Healthy air fryer cookbook : 100 great recipes with fewer calories and less fat!,2017,641.5638 WHI,36,2,,
"Dikker, Allen, author.",The potatopia cookbook : 77 recipes starring the humble potato,2017,641.6521 DIK,36,1,,
"Gundry, Steven R., author.","The plant paradox cookbook : 100 delicious recipes to help you lose weight, heal your gut, and live lectin-free",2018,641.5639 GUN,36,0,,
"Kaufman, Jonathan, author.",The last kings of Shanghai : the rival Jewish dynasties that helped create modern China,2020,951.132 KAU,35,5,,
"O'Reilly, Bill, author.",Killing the mob : the fight against organized crime in America,2021,364.1 ORE,35,3,,
"Serravallo, Jennifer, author.",The writing strategies book : your everything guide to developing skilled writers,2017,372.6 SER,35,3,,
"Orlin, Ben, author.",Math with bad drawings : illuminating the ideas that shape our reality,2018,510 ORL,35,1,,
"Goodman, Micah, author.","Catch-67 : the left, the right, and the legacy of the Six-Day War",2018,956 GOO,35,0,,
"Murphy, Ian (Private stock trader), author.",Way of the trader : a complete guide to the art of financial trading,2019,332.64 MUR,34,5,,
"MacArthur, John, 1939-","Twelve ordinary men : how the Master shaped his disciples for greatness, and what he wants to do with you",2002,225.92 MAC,34,4,,
,Dog training 101 [videorecording (DVD)].,2018,KIT 636.7 DON,34,4,,
"Gundry, Steven R, author.",The longevity paradox : how to die young at a ripe old age,2019,613.2 GUN,34,2,,
"Gaines, Joanna, 1978- author.",Magnolia table : a collection of recipes for gathering,2018,641.5975 GAI,34,2,,
,"The essential vegetarian keto cookbook : 65 low-carb, high-fat ketogenic recipes",2018,641.5638 ESS,34,1,,
"Orlean, Susan, author.",The library book [large print],2018,LP 027.4794 ORL,34,1,,
