PublicationYear,CallNumber,TotalLifetimeCirc,TotalYTDCirc,Classification,Author,Title
2015,641.54 DRU,10,0,Food & drink,"Drummond, Ree, author.","The pioneer woman cooks : dinnertime : comfort classics, freezer food, 16-minute meals, and other delicious ways to solve supper!"
2016,643.12 TRI,10,0,Housing & household equipment,"Trickey, Michael W., author.",Finding home : everything you need to know--and do--for home buying success
2016,ESL 428.24 ENG,10,3,English as second language,"Hart, Claire","English for everyone. Level 4, advanced practice book"
2017,641.564 LEM,10,0,Food & drink,"Lemke, Lisa, 1981- author.",The winter table : fireside feasts for family and friends
2017,ESL 428.24 MCC,10,5,English as second language,"McCarthy, Michael, 1947- author.",English phrasal verbs in use : vocabulary reference and practice. Intermediate book with answers
2017,306.872 DUN,10,1,Culture & institutions,"Dunn, Jancee, author.",How not to hate your husband after kids
2017,005.133 C++ MCG,10,0,"Computer programming, programs & data","McGrath, Mike, 1956- author.",C++ programming in easy steps
2017,814.54 LEG,10,0,American essays in English,"Le Guin, Ursula K., 1929-2018, author.",No time to spare : thinking about what matters
2017,523.1 LIG,10,0,Specific celestial bodies & phenomena,"Lightman, Alan P., 1948-",Searching for stars on an island in Maine
2018,006.78 MICROSOFT VISUAL STUDIO 2017 WRO,10,0,Special computer methods,"Johnson, Bruce, author.",Professional Visual Studio 2017
2018,"BIOG SHELLY,M SAM",10,0,Biography & Memoir,"Sampson, Fiona, author.",In search of Mary Shelley : the girl who wrote Frankenstein
2018,006.3 MAL,10,0,Special computer methods,"Malone, Thomas W., author.",Superminds : the surprising power of people and computers thinking together
2018,641.578 HAN,10,0,Food & drink,"Hanel, Marnie, author.",The campout cookbook : inspired recipes for cooking around the fire and under the stars
2018,617 LAA,10,0,Surgery & related medical specialties,"Laar, Arnold van de, author.",Under the knife : a history of surgery in 28 remarkable operations
2018,152.46 CLA,10,0,"Perception, movement, emotions & drives","Clark, Alicia H., author.","Hack your anxiety : using the surprising power of anxiety in love, life, and work"
2018,940.5421 BEE,10,2,History of Europe,"Beevor, Antony, 1946- author.",The Battle of Arnhem : the deadliest airborne operation of World War II
2018,973.933 WOO,10,0,United States,"Woodward, Bob, 1943- author.",Fear: Trump in the White House
2018,658 WEB,10,0,General management,"Webb, Brandon, author.",Mastering fear : a Navy SEAL's guide
2018,204.4 MCE,10,2,"Religious experience, life & practice","McEntyre, Marilyn Chandler, 1949- author.",Make a list : how a simple practice can change our lives and open our hearts
2018,320.0973 SAV,10,0,Political science,"Savage, Michael, 1942- author.",Stop mass hysteria : America's insanity from the Salem witch trials to the Trump witch hunt
2018,973.932 ISI,10,0,United States,"Isikoff, Michael, author.",Russian roulette : the inside story of Putin's war on America and the election of Donald Trump
2018,943.71 EIS,10,0,Central Europe; Germany,"Eisen, Norman L., 1961- author.",The last palace : a Prague century in five lives
2018,641.5951 KIM,10,2,Food & drink,"Kim, Sohui, author.",Korean home cooking : classic and modern recipes
2018,919.4 AUS,10,0,Geography of & travel in other areas,"Bowen, Jan, author.",Australia
2018,158 BAR,10,0,Applied psychology,Baraba,The formula : the universal laws of success
