WORD,WORD COUNT,
"""I",1,
#Healthyaf,1,Alphabet
&,14,
+,2,
-,1,
/,1,
10,1,
100,9,
100+,2,
101,2,
110,1,
120,1,
125,5,
140,1,
150,6,
16,1,
175,1,
2,1,
250,1,
275+,1,
3,1,
30,2,
5,1,
50,3,
500,4,
60,1,
65,2,
70,2,
75,3,
77,1,
:,90,
;,1,
=,1,
A,11,
Address,1,
Adventure,1,
Affordable,1,
Air,3,
Ali,1,
Alkaline,1,
All,1,
Always,1,
Amazing,1,
American,1,
An,1,
And,37,
Antics,1,
Art,1,
Asian,1,
At,3,
Athletes,1,
Authentic,2,
Autoimmune,2,
Baked,1,
Baking,3,
Balance,1,
Balanced,1,
Barefoot,1,
Bars,1,
Basically,1,
Beans,1,
Beauty,1,
Best,1,
Better,4,
Big,1,
Big-Flavor,1,
Bloat,1,
Bobby,2,
Body,1,
Book,4,
Boost,1,
Boring,1,
Bowl,1,
Bowls,1,
Breakfast,1,
Breakfasts,1,
Bring,2,
British,1,
Brownies,1,
Brunch,1,
Build-A-Bowl,1,
Busiest,1,
Busy,2,
By,1,
Cake,1,
Cakes,1,
Calories,1,
Calzone,1,
Carb,1,
Casual,1,
Cheese,1,
Chicken,1,
Childhood,1,
Christopher,1,
Classic,4,
Collection,2,
Combinations,1,
Comfort,6,
Common,1,
Company,1,
Complete,2,
Compliant,1,
Contessa,1,
Cook,9,
Cook?,1,
Cookable,1,
Cookbook,23,
Cooker,8,
Cookie,1,
Cookies,2,
Cooking,6,
Cookish,1,
Cool,1,
Copycat,1,
Crave,1,
Cravings,1,
Creative,1,
Dairy,1,
Dairy-Free,1,
Danielle,1,
Day,2,
Delicious,12,
Deliciously,2,
Delish,1,
Desserts,1,
Detroit,1,
Diet,6,
Dining,1,
Dinner,4,
Dinners,2,
Diseases,1,
Dish,1,
Dishes,3,
Diys,1,
Doing,1,
Done,1,
Dorie,1,
Dummies,1,
Dutch,2,
Easy,13,
Easy-To-Find,1,
Eat,4,
Eating,4,
Egg,1,
Eggs,1,
Electric,3,
Entertaining,1,
Essential,4,
Even,1,
Everday,1,
Every,3,
Everyday,4,
Everyone,2,
Everything,1,
Everywhere,1,
Family,5,
Fast,8,
Fat,1,
